시설유형,휴관일,CLOSE,OPEN,주소,승마장이름,전화번호,지역
"그린승마존, 유소년승마시설, 승용조련시설",월,18:00,08:00,경기도 용인시 처인구 원삼면 원양로246번길 153,금강홀스랜드,031-334-9872,경기도
"그린승마존, 유소년승마시설",월,19:00,08:00,경기도 광주시 도척면 방도길 137-32,광주승마클럽,031-766-0763,경기도
그린승마존,월,18:00,09:00,전라남도 나주시 남평읍 지석로 807-91,골드레이크 승마장,010-7226-2432,전라남도
"그린승마존, 유소년승마시설, 승용조련시설",월,18:00,08:00,울산광역시 울주군 삼남면 자수정로 70,JK호스트레이닝공원,052-264-0500,울산광역시
"그린승마존, 유소년승마시설, 승용조련시설",-,00:00,00:00,경상북도 구미시 고아읍 원대로20길 18,구미승마장,054-453-0150,경상북도
"그린승마존, 유소년승마시설, 승용조련시설",월,18:00,08:00,경기도 화성시 매송면 화성로 2337-6,홀스메이트,031-293-0277,경기도
"그린승마존, 유소년승마시설",월,00:00,00:00,충청북도 청주시 상당구 낭성면 지산길 67-16,태산승마타운,043-258-8000,충청북도
그린승마존,월,00:00,00:00,경기도 남양주시 와부읍 궁촌로64번길 52-67,건국승마,031-521-2115,경기도
그린승마존,월,00:00,00:00,경상남도 산청군 생초면 명지대포로 222,산청승마장,055-973-1181,경상남도
"그린승마존, 유소년승마시설",-,00:00,00:00,제주특별자치도 제주시 산록북로 8,제주홀스타영농조합법인,064-746-8558,제주특별자치도
그린승마존,월,00:00,00:00,경상북도 울진군 울진읍 명도온양길 66,울진 캠프홀스,054-781-7885,경상북도
그린승마존,월,18:00,09:00,경기도 안산시 상록구 목장길 36-21,안산해피승마장,031-418-5400,경기도
"그린승마존, 유소년승마시설",금,18:30,08:30,경기도 안산시 상록구 원당골2길 56-11,트리플밸리,031-485-0009,경기도
그린승마존,월,00:00,00:00,경상남도 밀양시 부북면 퇴로로 195,말보르승마장,055-355-6788,경상남도
그린승마존,월,18:00,09:00,전북특별자치도 익산시 춘포면 천서길 89,호남에이스승마장,063-862-2555,전북특별자치도
그린승마존,월,18:00,09:00,경상북도 포항시 남구 동해면 약전로115번길 11,포항동해승마장,054-284-4105,경상북도
그린승마존,-,00:00,00:00,경기도 양주시 은현면 용암로265번길 139-46,(주)휴먼앤홀스랜드,031-868-9594,경기도
그린승마존,월,18:00,09:00,경상북도 영주시 안정면 장안로 783-1,소백산승마장,054-635-0223,경상북도
그린승마존,월,17:00,09:00,제주특별자치도 서귀포시 남원읍 서성로 955-117,옷귀마테마타운(의귀마을),064-764-9771,제주특별자치도
그린승마존,-,00:00,00:00,충청남도 서산시 해미면 삼송버드실길 53-15,대한승마원,041-688-6868,충청남도
그린승마존,월,19:30,08:00,경상남도 진주시 금산면 송백로 392-31,챔프승마클럽,055-756-6442,경상남도
그린승마존,"월, 화",00:00,00:00,제주특별자치도 제주시 애월읍 납읍남로3길 169,홀스스토리,064-799-4499,제주특별자치도
"그린승마존, 유소년승마시설",월,18:00,09:00,광주광역시 광산구 가삼안길 68-100 (지평동),송산목장,062-943-7100,광주광역시
"그린승마존, 유소년승마시설, 승용조련시설",화,19:00,09:00,충청남도 논산시 은진면 살포재길 194-1,충남승마클럽농업회사법인㈜,041-745-5486,충청남도
"그린승마존, 유소년승마시설","월, 화",18:00,10:00,전북특별자치도 군산시 성산면 송호로,피터팬승마캠프,063-453-9971,전북특별자치도
"그린승마존, 유소년승마시설",월,00:00,00:00,경기도 화성시 봉담읍 생수길,에이원승마클럽,031-291-5426,경기도
"그린승마존, 유소년승마시설",-,00:00,00:00,부산광역시 기장군 정관읍 병산1길 102-19,바모스승마클럽,051-727-5301,부산광역시
그린승마존,월,00:00,00:00,세종특별자치시 소정면 매실로 474-41,원 승마클럽,044-566-6431,세종특별자치시
"그린승마존, 유소년승마시설",월,00:00,00:00,충청북도 음성군 음성읍 사정길 286,체로키승마스쿨,010-2208-8978,충청북도
"그린승마존, 유소년승마시설",월,18:00,09:00,경기도 파주시 파주로 478-24,파주탑승마장,010-5279-3053,경기도
"그린승마존, 유소년승마시설, 승용조련시설, 재활힐링승마시설",월,00:00,00:00,경기도 양주시 은현면 도하리,양주시승마장,031-8082-7375,경기도
그린승마존,월,00:00,00:00,충청남도 논산시 채운면 채운로146번길 5-15,논산시승마협회승마장,041-735-5169,충청남도
그린승마존,"토, 일",00:00,00:00,제주특별자치도 서귀포시 516로 501 (상효동),서귀포산업과학고등학교,064-733-4595,제주특별자치도
"그린승마존, 유소년승마시설",-,18:00,10:00,제주특별자치도 제주시 월산남길 284 (해안동),제이홀스클럽,064-747-3608,제주특별자치도
"그린승마존, 유소년승마시설",월,19:00,08:00,제주특별자치도 제주시 배한이길 97 (외도일동),제주승마스쿨,064-773-7373,제주특별자치도
"그린승마존, 유소년승마시설",월,18:00,08:00,경기도 화성시 매송면 용담로 28,펠리체승마클럽,031-294-2237,경기도
그린승마존,월,00:00,00:00,경상북도 구미시 도개면 궁기6길 6,ROK힐링승마,054-472-2525,경상북도
"그린승마존, 유소년승마시설",화,18:00,09:00,경기도 안산시 상록구 수인로 895-86,엘리트승마스쿨,031-419-2121,경기도
그린승마존,월,18:00,09:00,경기도 가평군 상면 물골길 391,더블유홀스랜드(W홀스랜드),031-585-4288,경기도
그린승마존,월,18:00,09:00,충청남도 서산시 팔봉면 한월당로 173,팔봉승마장,010-2410-6710,충청남도
"그린승마존, 유소년승마시설, 승용조련시설",월,00:00,00:00,경기도 이천시 호법면 이섭대천로527번길 171-8,솔밭승마클럽,031-632-9676,경기도
