word,meaning,level,example_sentence,example_translation
employee,"직원, 종업원",basic,The manager reviewed the employee before the meeting.,"관리자는 회의 전에 '직원, 종업원' 관련 내용을 검토했습니다."
employer,고용주,basic,Please check the employer before you leave the office.,사무실을 떠나기 전에 '고용주' 관련 내용을 확인해 주세요.
company,회사,basic,The company was mentioned in the company announcement.,회사 공지에서 '회사' 관련 내용이 언급되었습니다.
office,사무실,basic,We discussed the office during the morning meeting.,우리는 오전 회의에서 '사무실' 관련 내용을 논의했습니다.
meeting,회의,basic,The staff prepared the meeting for today's schedule.,직원들은 오늘 일정에 맞춰 '회의' 관련 내용을 준비했습니다.
customer,고객,basic,The manager reviewed the customer before the meeting.,관리자는 회의 전에 '고객' 관련 내용을 검토했습니다.
client,"고객, 의뢰인",basic,Please check the client before you leave the office.,"사무실을 떠나기 전에 '고객, 의뢰인' 관련 내용을 확인해 주세요."
manager,"관리자, 부장",basic,The manager was mentioned in the company announcement.,"회사 공지에서 '관리자, 부장' 관련 내용이 언급되었습니다."
staff,"직원, 직원들",basic,We discussed the staff during the morning meeting.,"우리는 오전 회의에서 '직원, 직원들' 관련 내용을 논의했습니다."
team,팀,basic,The staff prepared the team for today's schedule.,직원들은 오늘 일정에 맞춰 '팀' 관련 내용을 준비했습니다.
department,부서,basic,The manager reviewed the department before the meeting.,관리자는 회의 전에 '부서' 관련 내용을 검토했습니다.
business,"사업, 업무",basic,Please check the business before you leave the office.,"사무실을 떠나기 전에 '사업, 업무' 관련 내용을 확인해 주세요."
job,"직업, 일",basic,The job was mentioned in the company announcement.,"회사 공지에서 '직업, 일' 관련 내용이 언급되었습니다."
work,"일, 업무",basic,We discussed the work during the morning meeting.,"우리는 오전 회의에서 '일, 업무' 관련 내용을 논의했습니다."
career,"경력, 직업",basic,The staff prepared the career for today's schedule.,"직원들은 오늘 일정에 맞춰 '경력, 직업' 관련 내용을 준비했습니다."
position,"직위, 자리",basic,The manager reviewed the position before the meeting.,"관리자는 회의 전에 '직위, 자리' 관련 내용을 검토했습니다."
applicant,지원자,basic,Please check the applicant before you leave the office.,사무실을 떠나기 전에 '지원자' 관련 내용을 확인해 주세요.
candidate,"지원자, 후보자",basic,The candidate was mentioned in the company announcement.,"회사 공지에서 '지원자, 후보자' 관련 내용이 언급되었습니다."
